Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
Hawk,NNP,PROPN,Proper Noun,hawk,"noun, proper singular",1
Fire,NNP,PROPN,Proper Noun,fire,"noun, proper singular",1
threatening,VBG,VERB,Verb,threaten,"verb, gerund or present participle",1
Reno,NNP,PROPN,Proper Noun,reno,"noun, proper singular",1
Nevada,NNP,PROPN,Proper Noun,nevada,"noun, proper singular",1
wildfire,NN,NOUN,Noun,wildfire,"noun, singular or mass",1
West,NNP,PROPN,Proper Noun,west,"noun, proper singular",1
weeks,NNS,NOUN,Noun,week,"noun, plural",1
investigators,NNS,NOUN,Noun,investigator,"noun, plural",1
believe,VBP,VERB,Verb,believe,"verb, non-3rd person singular present",1
human,NN,NOUN,Noun,human,"noun, singular or mass",1
caused,VBN,VERB,Verb,cause,"verb, past participle",1
moniker,NN,NOUN,Noun,moniker,"noun, singular or mass",2
fits,VBZ,VERB,Verb,fit,"verb, 3rd person singular present",2
pattern,NN,NOUN,Noun,pattern,"noun, singular or mass",2
data,NNS,NOUN,Noun,datum,"noun, plural",2
show,VBP,VERB,Verb,show,"verb, non-3rd person singular present",2
quarters,NNS,NOUN,Noun,quarter,"noun, plural",2
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",2
U.S.,NNP,PROPN,Proper Noun,u.s.,"noun, proper singular",2
tend,VBP,VERB,Verb,tend,"verb, non-3rd person singular present",2
started,VBN,VERB,Verb,start,"verb, past participle",2
people,NNS,NOUN,Noun,people,"noun, plural",2
negligence,NN,NOUN,Noun,negligence,"noun, singular or mass",2
campfire,NN,NOUN,Noun,campfire,"noun, singular or mass",2
extinguished,VBN,VERB,Verb,extinguish,"verb, past participle",2
downed,VBN,VERB,Verb,down,"verb, past participle",2
power,NN,NOUN,Noun,power,"noun, singular or mass",2
line,NN,NOUN,Noun,line,"noun, singular or mass",2
arson,NN,NOUN,Noun,arson,"noun, singular or mass",2
are,VBP,VERB,Verb,be,"verb, non-3rd person singular present",3
people,NNS,NOUN,Noun,people,"noun, plural",3
living,VBG,VERB,Verb,live,"verb, gerund or present participle",3
fire,NN,NOUN,Noun,fire,"noun, singular or mass",3
landscapes,NNS,NOUN,Noun,landscape,"noun, plural",3
year,NN,NOUN,Noun,year,"noun, singular or mass",3
people,NNS,NOUN,Noun,people,"noun, plural",3
ignition,NN,NOUN,Noun,ignition,"noun, singular or mass",3
source,NN,NOUN,Noun,source,"noun, singular or mass",3
says,VBZ,VERB,Verb,say,"verb, 3rd person singular present",3
Kelly,NNP,PROPN,Proper Noun,kelly,"noun, proper singular",3
Pohl,NNP,PROPN,Proper Noun,pohl,"noun, proper singular",3
researcher,NN,NOUN,Noun,researcher,"noun, singular or mass",3
Headwaters,NNP,PROPN,Proper Noun,headwaters,"noun, proper singular",3
Economics,NNP,PROPN,Proper Noun,economics,"noun, proper singular",3
Montana,NNP,PROPN,Proper Noun,montana,"noun, proper singular",3
based,VBN,VERB,Verb,base,"verb, past participle",3
think,NN,NOUN,Noun,think,"noun, singular or mass",3
tank,NN,NOUN,Noun,tank,"noun, singular or mass",3
studies,NNS,NOUN,Noun,study,"noun, plural",4
