Word,Count,d0,d1,d2,d3,d4
the,69968,-0.0123851495,0.08986519,-0.24056469,0.12583342,0.12595494
of,36412,0.031439524,0.17926152,0.13057601,0.169289,0.310217
and,28847,0.061496574,0.1735111,0.08164054,0.13552672,0.17221801
to,26158,0.13585225,0.23749949,0.32989705,0.02957288,-0.09938455
a,23184,0.12613776,0.22508006,0.056322474,-0.07164008,0.1653088
in,21337,0.0022962007,0.06927903,0.117790855,0.22259624,0.21896604
that,10592,0.11804353,0.0575989,0.07374871,0.11692077,0.19884694
is,10106,0.12474707,0.37489298,0.23523147,0.19771348,0.12653528
was,9814,0.09108218,-0.038562045,-0.077461615,0.18337964,0.17719188
he,9544,0.2377223,-0.008237207,-0.0020003794,0.12866433,0.07857417
for,9489,0.23067558,0.1219628,0.2700964,-0.039237462,0.050206207
it,8758,0.10273294,0.18667273,0.17884964,0.085309856,0.21613751
with,7289,0.15433922,0.19310126,-0.009544515,0.16983457,0.23736084
as,7253,0.116436034,0.058441877,0.18329258,0.20188531,0.043428227
his,6996,0.13871461,0.2704223,-0.19202748,0.24048139,0.18716662
on,6739,0.039079044,0.08506577,0.048096772,0.13730544,0.18311012
be,6377,0.18911831,0.0121988645,0.33311412,-0.07669428,-0.022801002
at,5364,0.09037931,0.15439275,-0.19295317,0.2023489,0.045455847
by,5303,0.13917662,0.21918766,-0.10598626,0.122501604,0.15067498
i,5159,0.32255033,0.16902304,0.1954516,0.1315371,0.17889568
